GENOME_TERRITORY,MEAN_COVERAGE,SD_COVERAGE,MEDIAN_COVERAGE,MAD_COVERAGE,PCT_EXC_MAPQ,PCT_EXC_DUPE,PCT_EXC_UNPAIRED,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_CAPPED,PCT_EXC_TOTAL,PCT_1X,PCT_5X,PCT_10X,PCT_15X,PCT_20X,PCT_25X,PCT_30X,PCT_40X,PCT_50X,PCT_60X,PCT_70X,PCT_80X,PCT_90X,PCT_100X,HET_SNP_SENSITIVITY,HET_SNP_Q,ID,cohort,library,condition
2864957046,28.550561,10.860627,28,5,0.060469,0.530076,2.44E-04,0.0082,0.019479,0.006087,0.624556,0.983278,0.978662,0.969498,0.942793,0.875325,0.683703,0.41287,0.117328,0.020538,0.003836,0.002461,0.001886,0.001479,0.001206,0.979097,17,CTF012_CMMCs_210,2,remove_sensitive,tumor
2864957046,59.653412,19.871024,58,11,0.063599,0.136152,6.68E-04,0.023383,0.087736,0.011051,0.322589,0.98442,0.981273,0.979017,0.97697,0.974722,0.971659,0.965342,0.907943,0.727502,0.473402,0.259546,0.124638,0.052911,0.02093,0.982075,17,CTF012_WBCs,1,remove_sensitive,germline
2864957046,9.808313,4.811843,10,2,0.058337,0.689265,1.05E-04,0.003693,0.01579,0.003861,0.771051,0.981241,0.940981,0.521392,0.085025,0.006995,0.002329,0.001575,8.90E-04,5.79E-04,4.22E-04,3.41E-04,2.89E-04,2.52E-04,2.23E-04,0.928076,11,CTF012_WBCs_1045,2,remove_sensitive,germline
2864957046,30.3217,15.771069,28,9,0.085201,0.127562,5.30E-04,0.017555,0.153192,0.012807,0.396847,0.982584,0.976998,0.959897,0.895595,0.768466,0.60811,0.452996,0.227117,0.102776,0.041271,0.015435,0.006205,0.003275,0.002264,0.978105,17,CTF013_BMPCs_30k,2,remove_sensitive,tumor
2864957046,20.234683,7.396197,20,3,0.052842,0.641904,1.46E-04,0.00514,0.020434,0.005225,0.725691,0.983103,0.977485,0.965371,0.873775,0.559254,0.200216,0.040405,0.003679,0.002317,0.001656,0.001245,9.87E-04,8.15E-04,6.76E-04,0.977246,16,CTF013_CMMCs_398,2,remove_sensitive,tumor
2864957046,14.452341,6.007577,14,3,0.05476,0.654217,1.62E-04,0.005029,0.013857,0.005224,0.733248,0.982658,0.973672,0.884116,0.487879,0.114485,0.014175,0.003661,0.001901,0.001248,9.11E-04,6.95E-04,5.34E-04,4.29E-04,3.68E-04,0.965885,15,CTF013_WBCs_233,2,remove_sensitive,germline
2864957046,23.542633,9.103586,24,4,0.069977,0.382036,2.85E-04,0.008782,0.04875,0.008913,0.518743,0.988592,0.981894,0.958921,0.897076,0.73086,0.438585,0.183746,0.020002,0.004637,0.00252,0.001778,0.001382,0.001122,9.29E-04,0.982194,17,CTF014_CMMCs_465,2,remove_sensitive,tumor
2864957046,6.067014,3.916495,6,2,0.066942,0.734022,8.70E-05,0.002133,0.013726,0.003513,0.820422,0.981371,0.703111,0.100623,0.00531,0.001738,0.001088,7.65E-04,4.45E-04,3.20E-04,2.56E-04,2.15E-04,1.88E-04,1.70E-04,1.57E-04,0.797055,7,CTF014_WBCs_69,2,remove_sensitive,germline
2864957046,67.396672,21.594592,67,9,0.051371,0.208888,5.28E-04,0.014868,0.08034,0.010043,0.366039,0.984605,0.981372,0.979192,0.977271,0.97508,0.970928,0.961003,0.925033,0.875241,0.714013,0.418596,0.200973,0.116094,0.068,0.982165,17,CTF015_BMPCs,1,remove_sensitive,tumor
2864957046,48.477255,20.823081,46,11,0.074031,0.191446,3.37E-04,0.012609,0.131151,0.00984,0.419415,0.983794,0.980112,0.97655,0.9684,0.95087,0.921393,0.869038,0.668216,0.425306,0.241003,0.127136,0.064069,0.03218,0.017009,0.981014,17,CTF015_CMMCs_4135,2,remove_sensitive,tumor
2864957046,26.478622,8.831687,27,4,0.05919,0.176402,4.98E-04,0.01325,0.103128,0.010753,0.36322,0.982805,0.978166,0.972898,0.957927,0.874963,0.633236,0.314788,0.02563,0.003983,0.002526,0.001915,0.00154,0.001257,0.001035,0.979281,17,CTF015_WBCs,1,remove_sensitive,germline
2864957046,22.442514,7.726453,23,4,0.063837,0.539216,2.35E-04,0.005544,0.031227,0.006617,0.646676,0.983084,0.97787,0.970412,0.929303,0.72146,0.349388,0.094828,0.00515,0.002698,0.001956,0.001521,0.001202,9.58E-04,7.67E-04,0.978515,17,CTF015_WBCs_253,2,remove_sensitive,germline
2864957046,64.069437,30.006907,59,16,0.082446,0.09179,4.85E-04,0.018127,0.20425,0.010646,0.407744,0.984168,0.98082,0.978379,0.976069,0.972883,0.965459,0.946176,0.842507,0.666271,0.482946,0.334746,0.22998,0.15961,0.111761,0.981711,17,CTF017_BMPCs,1,remove_sensitive,tumor
2864957046,10.522057,5.161526,10,3,0.0847,0.483674,3.28E-04,0.009272,0.034899,0.006464,0.619337,0.981445,0.936057,0.60601,0.140045,0.012642,0.002878,0.001889,0.001089,7.27E-04,5.18E-04,3.87E-04,3.15E-04,2.69E-04,2.35E-04,0.93314,12,CTF017_CMMCs_886,2,remove_sensitive,tumor
2864957046,24.685998,10.224449,24,5,0.089236,0.144045,5.52E-04,0.020605,0.134129,0.010222,0.39879,0.98309,0.977918,0.968056,0.910834,0.730397,0.468992,0.248712,0.051186,0.011181,0.004325,0.002493,0.001676,0.001245,9.94E-04,0.97883,17,CTF017_WBCs_2701,2,remove_sensitive,germline
2864957046,39.144502,20.67102,36,11,0.089155,0.113399,8.16E-04,0.022884,0.158301,0.011143,0.395697,0.983545,0.978964,0.968915,0.939195,0.884903,0.795725,0.670859,0.408606,0.230689,0.129061,0.07193,0.040597,0.023574,0.01409,0.979866,17,CTF018_BMPCs_11k,2,remove_sensitive,tumor
2864957046,30.588064,14.725481,29,7,0.089502,0.161213,5.83E-04,0.020637,0.125332,0.010648,0.407916,0.983044,0.977918,0.960914,0.913608,0.826722,0.672979,0.480541,0.195675,0.07949,0.035065,0.015839,0.007467,0.003918,0.002374,0.978552,17,CTF018_CMMCs_2911,2,remove_sensitive,tumor
2864957046,42.030391,17.874668,39,9,0.083439,0.118263,5.78E-04,0.022833,0.144084,0.010732,0.379929,0.983923,0.979994,0.976636,0.971866,0.956558,0.906607,0.801565,0.498834,0.261814,0.132686,0.064608,0.029357,0.013037,0.006373,0.980995,17,CTF018_WBCs_6282,2,remove_sensitive,germline
2864957046,27.42517,11.123158,27,5,0.077225,0.502921,2.36E-04,0.008053,0.040187,0.006567,0.635188,0.988885,0.983198,0.969551,0.929039,0.842377,0.639068,0.357095,0.070225,0.030141,0.012326,0.003922,0.002056,0.001566,0.0013,0.983816,18,CTF019_BMPCs_947,2,remove_sensitive,tumor
2864957046,21.2676,9.327521,21,4,0.081343,0.465261,3.12E-04,0.009282,0.070642,0.007009,0.633849,0.988455,0.980493,0.948027,0.843454,0.577585,0.269177,0.10519,0.029293,0.00877,0.002825,0.001673,0.001274,0.001042,8.75E-04,0.980869,17,CTF019_CMMCs_1169,2,remove_sensitive,tumor
2864957046,23.061805,8.485768,23,4,0.07234,0.484584,2.64E-04,0.00838,0.054677,0.006857,0.627103,0.988284,0.982389,0.962409,0.904276,0.735701,0.412047,0.141998,0.00952,0.003318,0.002093,0.001552,0.001231,0.00102,8.72E-04,0.982715,18,CTF019_WBCs_614,2,remove_sensitive,germline
2864957046,39.097353,16.894428,37,9,0.072446,0.145394,5.46E-04,0.020099,0.119619,0.012642,0.370746,0.989276,0.985168,0.978821,0.959148,0.924314,0.861962,0.741936,0.428528,0.214272,0.091782,0.037767,0.017148,0.008505,0.004761,0.985959,19,CTF021_BMPCs_12423,2,remove_sensitive,tumor
2864957046,6.983071,4.535038,7,2,0.077651,0.670885,1.55E-04,0.004087,0.023446,0.004528,0.780752,0.982104,0.758589,0.205791,0.023616,0.003021,0.001409,0.001007,6.28E-04,4.28E-04,3.29E-04,2.72E-04,2.34E-04,2.06E-04,1.86E-04,0.833506,8,CTF021_CMMCs_182,2,remove_sensitive,tumor
2864957046,28.946863,9.972982,29,5,0.080277,0.394215,4.31E-04,0.012259,0.053735,0.007872,0.54879,0.989435,0.984613,0.975371,0.946277,0.892043,0.750973,0.483645,0.072252,0.008062,0.003591,0.002479,0.001905,0.001534,0.001263,0.985262,18,CTF021_WBCs_981,2,remove_sensitive,germline
2864957046,9.707938,5.499377,9,3,0.075452,0.694621,1.63E-04,0.003813,0.012848,0.004368,0.791265,0.987321,0.902862,0.476461,0.123089,0.024203,0.005031,0.001946,0.001029,7.07E-04,4.98E-04,3.80E-04,3.17E-04,2.75E-04,2.44E-04,0.905902,10,CTF022_CMMCs_206,2,remove_sensitive,tumor
